date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:45	76394/76394	---M--	200	added ('OK')	image/png	etag:%225919aab3=12a6a%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/Shila.png	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/Shila.png	(from http://old.nordicosenadopcion.com/)
11:30:45	12889/12889	---M--	200	added ('OK')	image/jpeg	etag:%22591ae2b9=3259%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/dingo%20y%20remo%204%20a%c3%b1os.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/dingo%20y%20remo%204%20a%c3%b1os.jpg	(from http://old.nordicosenadopcion.com/)
11:30:45	24776/24776	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:26:47%20+0000	http://old.nordicosenadopcion.com/anuncio/1239	old.nordicosenadopcion.com/anuncio/1239.html	(from http://old.nordicosenadopcion.com/)
11:30:51	50615/50615	---M--	200	added ('OK')	image/png	etag:%22591aeb89=c5b7%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/casper%20portada.png	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/casper%20portada.png	(from http://old.nordicosenadopcion.com/)
11:30:51	4404/4404	---M--	200	added ('OK')	image/jpeg	etag:%225922e771=1134%22	http://old.nordicosenadopcion.com/sites/default/files/styles/medium/public/IMG-20170513-WA0005_4.jpg	old.nordicosenadopcion.com/sites/default/files/styles/medium/public/IMG-20170513-WA0005_4.jpg	(from http://old.nordicosenadopcion.com/)
11:30:51	24348/24348	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:48%20+0000	http://old.nordicosenadopcion.com/anuncio/1250	old.nordicosenadopcion.com/anuncio/1250.html	(from http://old.nordicosenadopcion.com/)
11:30:55	525/525	---M--	200	added ('OK')	image/png	etag:%224d334e0f=20d%22	http://old.nordicosenadopcion.com/themes/nea_bartik/js/jcarousellite/arrow_right.png	old.nordicosenadopcion.com/themes/nea_bartik/js/jcarousellite/arrow_right.png	(from http://old.nordicosenadopcion.com/)
11:30:56	14175/14175	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Apr%202018%2021:26:46%20+0000	http://old.nordicosenadopcion.com/pattern.gif	old.nordicosenadopcion.com/pattern.gif	(from http://old.nordicosenadopcion.com/)
11:30:56	17965/17965	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:27:10%20+0000	http://old.nordicosenadopcion.com/cachorros	old.nordicosenadopcion.com/cachorros.html	(from http://old.nordicosenadopcion.com/)
11:30:58	42481/42481	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:27:17%20+0000	http://old.nordicosenadopcion.com/jovenes	old.nordicosenadopcion.com/jovenes.html	(from http://old.nordicosenadopcion.com/)
11:30:59	42769/42769	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2021:27:50%20+0000	http://old.nordicosenadopcion.com/adultos	old.nordicosenadopcion.com/adultos.html	(from http://old.nordicosenadopcion.com/)
11:31:00	44048/44048	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:30:59%20+0000	http://old.nordicosenadopcion.com/adoptados	old.nordicosenadopcion.com/adoptados.html	(from http://old.nordicosenadopcion.com/)
11:31:01	38239/38239	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20May%202018%2009:31:00%20+0000	http://old.nordicosenadopcion.com/arcoiris	old.nordicosenadopcion.com/arcoiris.html	(from http://old.nordicosenadopcion.com/)
